,Time To Double,Rule of 70,Computational Solution
0.5,138.97572161069672,140.0,144.0
1.0,69.66071689357483,70.0,72.0
1.5,46.55552563080618,46.666666666666664,48.0
2.0,35.0027887811465,35.0,36.0
2.5,28.071034525938728,28.0,28.8
3.0,23.449772250437736,23.333333333333332,24.0
3.5,20.148791684000713,20.0,20.571428571428573
4.0,17.672987685129698,17.5,18.0
4.5,15.747301836485594,15.555555555555555,16.0
5.0,14.206699082890461,14.0,14.4
5.5,12.946157112237172,12.727272727272727,13.090909090909092
6.0,11.895661045941875,11.666666666666666,12.0
6.5,11.006739041494765,10.76923076923077,11.076923076923077
7.0,10.244768351058712,10.0,10.285714285714286
7.5,9.584358956627911,9.333333333333334,9.6
8.0,9.006468342000588,8.75,9.0
8.5,8.49653458052555,8.235294117647058,8.470588235294118
9.0,8.043231726932046,7.777777777777778,8.0
9.5,7.637618243318163,7.368421052631579,7.578947368421052
10.0,7.272540897341713,7.0,7.2
